area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,920,2,1,63
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024,5,1,350
Plot  Area,Ready To Move,Bidadi,2 Bedroom,,1600,2,2,110
Plot  Area,Ready To Move,Sanjay nagar,4 Bedroom,,750,2,0,110
Plot  Area,Ready To Move,Sector 4 HSR Layout,4 Bedroom,,2400,4,,700
Built-up  Area,Ready To Move,Bhagyalakshmi Avenue,2 BHK,Prineth,955,1,2,34.01
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3,3,100
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Suitea ,1425,2,2,64
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Brsic C,2150,3,2,265
Super built-up  Area,20-Dec,Whitefield,2 BHK,,1165,2,1,40.5
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Maidei ,1050,2,2,48
Super built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,ShourSp,1370,2,2,75
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1374,2,1,72
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754,3,2,124
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3,2,110
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1850,4,3,139
Plot  Area,18-May,Chikka Tirupathi,3 Bedroom,Theanmp,3297,3,1,135
Super built-up  Area,Ready To Move,Doddakannelli,2 BHK,BMtusLo,1187,2,2,45
Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,,1400,2,1,40.44
Plot  Area,Ready To Move,Kengeri Hobli,3 Bedroom,,600,2,0,30
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,,1350,2,3,180
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Raourpl,3000,2,2,120
Super built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,693,1,1,34.3
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1980,3,2,224
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Saavem ,1021,2,1,48
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1165,2,2,95
Super built-up  Area,19-Mar,Horamavu Agara,3 BHK,Prhar G,1756,3,2,92
Super built-up  Area,Ready To Move,Bharathi Nagar,3 BHK,FoapeWa,1739,3,1,105
Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1280,2,,65
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1215,2,2,58.86
Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,950,2,1,46.5
Built-up  Area,Ready To Move,Kengeri,3 BHK,,1082,2,1,49
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1050,2,1,42
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Cerdsga,1080,2,0,53.35
Super built-up  Area,Ready To Move,Arekere,2 BHK,Maierr ,1100,2,2,55
Plot  Area,Ready To Move,Ardendale,4 Bedroom,Aling10,3200,4,1,205
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,PraleSi,1311,2,1,78
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608,3,1,67.98
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1160,2,2,36
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1170,2,1,71
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,1155,2,2,40.6
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255,2,1,77.68
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,,1065,2,2,44.95
Super built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,Guenoa ,674,1,1,21
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,,1936,4,2,126
Super built-up  Area,18-Dec,Sarakki Nagar,3 BHK,,2289,3,2,260
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,,1100,2,1,38.45
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,2257,4,2,157
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1055,2,2,55
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3,3,51.87
Super built-up  Area,Ready To Move,Dinnur,3 BHK,,1700,3,1,97
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Tentsw ,1575,2,2,78
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Nanorkr,3500,4,2,330
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,1263,2,1,93.32
Super built-up  Area,Ready To Move,KR Puram,3 BHK,MCvarar,1255 - 1863,3,0,69.315
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,MB-laan,1043,2,2,65
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2,2,53.5
Super built-up  Area,18-Mar,JP Nagar,2 BHK,Shestut,1300 - 1405,2,0,93.865
Super built-up  Area,18-Dec,Chandapura,1 BHK,Siageal,590,1,0,13.57
Plot  Area,Ready To Move,Yelahanka,3 Bedroom,Edreelm,1550,3,1,120
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3,3,56
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Jants V,1900,3,3,160
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,,1360,3,3,55
Built-up  Area,Ready To Move,Vyalikaval,2 BHK,,1100,2,1,75
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,Vaarech,1455,3,2,73.31
Built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1035,2,1,40.5
Super built-up  Area,Ready To Move,Harlur,2 BHK,,1152,2,2,69
Super built-up  Area,Ready To Move,Bellandur,2 BHK,OriewLa,1299,2,2,82
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2,1,75
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Sovar S,1050,2,2,52.5
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1050,2,2,40
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2,1,67.4
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1929,3,2,115
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1285,2,1,60
Plot  Area,Ready To Move,Margondanahalli,3 Bedroom,,1200,2,0,65
Built-up  Area,Ready To Move,"Banaswadi, ",4 BHK,,3161,4,3,214
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,1850,3,,170
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025,2,0,37
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,SaeneSe,1124,3,2,80
Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012,2,1,54.59
Super built-up  Area,Ready To Move,Giri Nagar,4 Bedroom,Bancyri,4500,5,3,250
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,i1rtsCo,871,2,2,55
Built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,Mae 2ow,1020,2,2,40
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3,3,73.5
Plot  Area,Ready To Move,Anand Nagar,3 Bedroom,,3515,3,1,420
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2,2,80
Plot  Area,18-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,3500,5,3,150
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1118,2,1,75
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098,2,1,68
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1130,2,1,45.2
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Trurea ,1145,2,2,75
Plot  Area,Ready To Move,Kadugodi,3 Bedroom,,950,3,1,80
Super built-up  Area,Ready To Move,Balaji Gardens Layout,2 BHK,GSnts A,1051,2,1,33
Plot  Area,Ready To Move,Thavarekere,4 Bedroom,,600,7,,108
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,1102,2,2,53.67
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1478,2,2,125
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1,1,16.45
Carpet  Area,18-Dec,Hebbal,2 BHK,Arcia S,823,2,1,50.63
Super built-up  Area,21-Dec,Abbigere,2 BHK,,880,2,1,35
Built-up  Area,Ready To Move,KR Puram,4 Bedroom,,600,5,2,75
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4,2,100
Built-up  Area,Ready To Move,TC Palaya,3 BHK,,1100,3,1,50
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3,2,115
Built-up  Area,17-Sep,HAL 2nd Stage,2 BHK,,1226,3,1,135
Plot  Area,Ready To Move,Begur Road,3 Bedroom,,680,4,1,68
Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,,1100,2,1,70
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,1200,4,3,195
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Sorta S,1450,2,1,58
Super built-up  Area,Ready To Move,Singasandra,4 BHK,,3366,4,,120
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1150,2,1,54
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1843,3,2,95.84
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,2200,4,2,195
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,,1090,3,2,44
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Binorn ,1132,2,2,42
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1375,2,2,80
Plot  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,,1500,5,3,220
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Bhmesy ,760,1,2,50.3
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1180,2,2,65
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2,2,45
Plot  Area,Ready To Move,Rachenahalli,5 Bedroom,,600,5,,50
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,,1200,1,0,53
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2,1,61
Plot  Area,Ready To Move,1st Block HRBR Layout,4 Bedroom,,2400,7,3,355
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1728,3,2,95
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,3,1,275
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Crentt ,1200,2,2,80
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,Vador S,1280,2,,56
Plot  Area,Ready To Move,Hulimavu,4 Bedroom,,800,4,,110
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,ViisePa,1455,2,2,56
Super built-up  Area,20-Aug, Rachenahalli,1 RK,AsNowre,440,1,0,28
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,Nathira,1500,3,2,97
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1800,3,,110
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1525,3,2,96
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1204,2,3,38.5
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,1225,2,1,53.55
Built-up  Area,Ready To Move,Kalyan nagar,6 Bedroom,,800,6,3,98
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Esave E,1650,3,,122
Built-up  Area,Ready To Move,Electronic City,3 BHK,Itelaa ,880,2,1,18
Built-up  Area,Ready To Move,Bikasipura,4 Bedroom,,4200,4,2,255
Plot  Area,Ready To Move,Tippenahalli,2 Bedroom,,1200,2,0,55
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,1152,4,1,230
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2,1,42
Super built-up  Area,20-Dec,Whitefield,3 BHK,Oreldhi,1562,3,2,103
Built-up  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,5000,5,2,395
Plot  Area,Ready To Move,Babusapalaya,6 Bedroom,,810,5,2,95
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,,1200,2,3,42
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1555,3,2,82.5
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,1550,2,1,71
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BainePr,1190,2,2,67
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,KsonsCa,1070,2,2,50
Plot  Area,Immediate Possession,Sarjapur  Road,,AsdiaAr,1200 - 2400,,,28.785
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,ShshaSa,1020,2,1,42.48
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1610,3,1,115
Super built-up  Area,Ready To Move,Prestige Sunrise,1 BHK,,700,1,1,41
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1300,2,1,49
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2,1,123
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,1200,9,2,100
Carpet  Area,18-Dec,Hebbal,3 BHK,Arcia S,1069,3,2,65.4
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1900,3,3,123
Super built-up  Area,18-May,Old Airport Road,2 BHK,Jaades ,1655,2,1,97.65
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155,2,2,40.42
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Esatea ,1300,2,2,70
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Amhidte,1100,2,2,45
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Arensh ,1030,2,2,42
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,2105,2,1,70.2
Built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Prsun S,1700,3,2,126
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1760,3,2,139
Built-up  Area,Ready To Move,Kadugodi,4 Bedroom,,6200,9,0,200
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,,1400,2,1,67
Super built-up  Area,Ready To Move,Srigandada Kaval,2 BHK,,1200,2,0,53
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Haaceal,912,2,1,55
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1102,2,1,48
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,3,1,55
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2,2,63.2
Super built-up  Area,Ready To Move,Begur Road,3 BHK,MJilayl,1500,2,3,70
Plot  Area,Ready To Move,Mathikere Extension,3 Bedroom,,3000,3,0,250
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1476,3,0,89
Super built-up  Area,18-Apr,Mysore Road,2 BHK,,1200,2,3,65
Super built-up  Area,21-Jun,Vijayanagar,1 BHK,Saityat,606,1,0,34.78
Super built-up  Area,Ready To Move,Viswajit Layout,2 BHK,,1100,2,3,61
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1295,2,1,59.5
Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,AdingSV,527,1,0,26
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,Drerspe,1300,2,2,80
Plot  Area,Ready To Move,Bommanahalli,3 Bedroom,,680,4,1,68
Plot  Area,Ready To Move,Adityanagar,1 Bedroom,,1260,1,0,41
Built-up  Area,Ready To Move,Koramangala,2 BHK,Vaanda ,1140,2,1,75.2
Plot  Area,Ready To Move,BDS Layout,1 Bedroom,,1500,1,0,37.5
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2321,4,1,128
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1390,2,2,62
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Asncywo,1725,3,3,90
Super built-up  Area,18-May,Hebbal,4 BHK,SNontle,3067,4,1,310
Super built-up  Area,18-Mar,Hennur Road,3 BHK,Koagati,1186,2,1,63
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,PrityFa,1230,2,1,85
Built-up  Area,Ready To Move, Mysore Highway,1 BHK,,600,1,1,17
Super built-up  Area,18-Dec,Yeshwanthpur,3 BHK,,1313,3,1,96
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2,0,55
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,,1250,2,2,66.25
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,,1200,6,3,280
Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,660,1,1,54
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,Tinori ,1036,2,2,105
Built-up  Area,Ready To Move,Koramangala,4 BHK,,2700,4,3,450
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Teilsaf,1100,2,1,70
Plot  Area,Immediate Possession,Devanahalli,,Ajleyor,1500 - 2400,,,46.8
Plot  Area,Ready To Move,BTM 2nd Stage,4 Bedroom,,1500,2,1,450
Plot  Area,Ready To Move,Singasandra,4 Bedroom,,525,5,2,56
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GaicaVe,1015,2,1,56
Plot  Area,Ready To Move,Gottigere,1 Bedroom,,812,1,0,26
Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,,1360,2,2,65
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Ceste C,2167,3,3,170
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1200,2,1,35
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1165,2,2,75
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,NDclenn,1274,2,2,70
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151,2,2,39.02
Plot  Area,Ready To Move,Vidyaranyapura,6 Bedroom,,1060,6,3,110
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,ShdhiSa,1626,2,2,120
Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,,1035,2,2,35.77
Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,,1272,4,0,75
Built-up  Area,Ready To Move,Jeevan bima nagar,2 BHK,,965,2,1,45
Plot  Area,Ready To Move,Esther Enclave Layout,5 Bedroom,,1600,5,2,140
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1070,2,1,42.79
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Spensas,1570,2,2,65
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,117Sq. Yards,2,2,38
Super built-up  Area,Ready To Move,Keerthi Layout,2 BHK,NianaKe,780,2,2,25
Super built-up  Area,Ready To Move,Ganga Nagar Extension,3 BHK,,1000,2,1,65
Plot  Area,Ready To Move,9th Phase JP Nagar,4 Bedroom,,1200,3,2,188
Built-up  Area,Ready To Move,Tindlu,4 Bedroom,,7500,7,2,400
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1700,2,3,100
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,RBersll,1850,3,,110
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,DSdorSp,904,2,1,30
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,ALtonea,1121,2,1,43.72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1385,2,2,58.17
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Rauil T,1270,2,1,69.85
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,56
Plot  Area,Ready To Move,Huttanahalli,3 Bedroom,,2400,4,2,325
Super built-up  Area,Ready To Move,Mahadevpura,1 BHK,,730,1,1,35
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580,3,3,53.56
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Teire G,1111,2,1,50
Plot  Area,Ready To Move,Kengeri,4 Bedroom,,1125,2,1,88
Super built-up  Area,Ready To Move,Varthur,2 BHK,Maine J,977,2,2,36
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,,674,1,1,19.9
Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,,600,3,1,83
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,2540,4,1,115
Super built-up  Area,17-Dec,Jakkur,2 BHK,BrdgeNo,1290,2,1,100
Plot  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,600,3,1,98
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,2,1,32.54
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,700,1,1,35
Built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1463,1,1,142
Built-up  Area,Ready To Move,Vijayanagar,3 Bedroom,,1000,3,0,140
Super built-up  Area,Ready To Move,Reliable Woods Layout,3 BHK,,1306,2,2,58
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2401,3,2,185
Plot  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1670,3,0,135
Built-up  Area,Ready To Move,Jayanagar,3 BHK,Rathira,1875,2,3,235
Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200,3,1,90
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1804,3,2,121
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2065,4,1,210
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Deiveer,1225,3,1,40
Super built-up  Area,18-Nov,Thanisandra,2 BHK,Bhe 2ko,934 - 1437,2,0,58.68
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,900,2,2,56
Super built-up  Area,19-Dec,Binny Pete,2 BHK,She 2rk,1350,2,1,91
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700,1,0,36
Super built-up  Area,18-Jun,Mysore Road,2 BHK,Gopia O,980 - 1030,2,0,35.175
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,,1160,2,1,46.39
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1680,3,,99.27
Carpet  Area,Ready To Move,LB Shastri Nagar,2 BHK,CharkR ,1043,2,2,55
Plot  Area,Ready To Move,Hoskote,4 Bedroom,,1200,4,1,120
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Diaveic,1040,2,2,46
Super built-up  Area,Ready To Move,Tindlu,3 BHK,Shmolti,1357,2,2,65
Plot  Area,Ready To Move,Nayandanahalli,4 Bedroom,,1600,7,1,104
Super built-up  Area,18-Aug,Vibhutipura Extension,2 BHK,,1225,2,2,47
Plot  Area,Ready To Move,Sunkadakatte,4 Bedroom,,1500,6,1,80
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,,1130,2,2,40
Built-up  Area,Ready To Move,Basavangudi,4 Bedroom,,2500,4,1,150
Carpet  Area,Ready To Move,Sultan Palaya,3 BHK,,1700,3,3,120
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,SKterAs,1549,3,2,65
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Goandn ,1400,2,2,100
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,MavarSa,1080,2,2,50
Built-up  Area,Ready To Move,Ulsoor,2 BHK,Rilor C,1180,2,2,100
Plot  Area,Ready To Move,Chandra Layout,4 Bedroom,,780,7,3,150
Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1800,3,2,150
Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1225,2,1,67.38
Built-up  Area,Ready To Move,Chandra Layout,1 BHK,,890,1,1,75
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1005,2,1,39.59
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1320,2,1,95
Built-up  Area,Ready To Move,Anandapura,4 BHK,,1475,2,1,50
Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,Sanzaat,1564 - 1850,,,99.745
Super built-up  Area,Ready To Move,Hagadur,2 BHK,SSoraba,1110,2,2,51
Plot  Area,18-Apr,Popular Colony,2 Bedroom,,1300,2,0,54
Plot  Area,Ready To Move,Vajarahalli,5 Bedroom,,600,3,1,86
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2,1,65.35
Super built-up  Area,22-May,Jakkur,2 BHK,SoineC ,1452.19,2,1,100
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,2400,3,2,290
Super built-up  Area,18-Jul,Banashankari,3 BHK,Rallse ,2600,4,1,135
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2500,4,2,325
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,,630,1,1,35
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,,1243,2,2,48.5
Built-up  Area,Ready To Move,Soundarya Layout,2 BHK,Goe 3la,960,2,2,32
Super built-up  Area,Ready To Move,"Banashankari 6th Stage ,Subramanyapura",3 BHK,,1690,3,2,100
Built-up  Area,Ready To Move,Whitefield,2 BHK,JahanSa,735,2,1,35
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1365,2,2,73
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,Pumesim,2849,5,0,300
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2,1,99.39
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1570,3,3,68
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,850,1,1,32
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575,2,2,110
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2,2,104
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1050,2,1,42
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,GSideS ,1065,2,1,42.6
Built-up  Area,Ready To Move,Ulsoor,3 BHK,,1340,3,0,90
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,,1610,3,2,92
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1160,2,1,33.5
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1092,2,2,44
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2,2,47
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Apows M,1455,3,1,61.5
Super built-up  Area,18-Jun,Abbigere,1 BHK,DSestma,734,1,0,19.82
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,799,2,1,38
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1896,3,1,75
Super built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2,1,48
Built-up  Area,Ready To Move,Bellandur,2 BHK,,1350,2,1,79
Super built-up  Area,Ready To Move,Amarjyothi Colony,3 BHK,,1355,3,1,61
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,65
